job_id,company_name,title,max_salary,pay_period,location,views,med_salary,min_salary,formatted_work_type,applies,remote_allowed,formatted_experience_level,listed_time,sponsored,work_type,currency,normalized_salary,listed_date,listed_year,listed_month,city,state,annual_salary,skill_Python,skill_SQL,skill_Excel,skill_Power_BI,skill_Tableau,skill_Java,skill_AWS,skill_Machine_Learning,skill_R,skill_Communication,skill_Project_Management,skill_Salesforce,salary_band,application_rate,applies_filled,apply_view_ratio,posting_signature,repost_count,skill_count,salary_disclosed,log_views,anomaly_flag,anomaly_score,is_ghost_candidate
921716,Corcoran Sawyer Smith,Marketing Coordinator,20.0,HOURLY,"Princeton, NJ",20.0,,17.0,Full-time,2.0,0,Not Specified,1713397508000.0,0,FULL_TIME,USD,38480.0,2024-04-17 23:45:08,2024,2024-04,Princeton,NJ,38480.0,0,0,0,0,0,0,0,0,1,0,0,0,Below 50K,0.1,2.0,0.1,"Corcoran Sawyer Smith_Marketing Coordinator_Princeton, NJ",1,1,1,3.044522437723423,1,0.11852960406346352,0
23221523,"Abrams Fensterman, LLP",Senior Elder Law / Trusts and Estates Associate Attorney,175000.0,YEARLY,"New Hyde Park, NY",16.0,,140000.0,Full-time,,0,Not Specified,1712895812000.0,0,FULL_TIME,USD,157500.0,2024-04-12 04:23:32,2024,2024-04,New Hyde Park,NY,157500.0,0,0,1,0,0,0,0,0,1,1,0,0,Above 120K,,0.0,0.0,"Abrams Fensterman, LLP_Senior Elder Law / Trusts and Estates Associate Attorney_New Hyde Park, NY",1,3,1,2.833213344056216,1,0.14058299800791413,0
111513530,United Methodists of Greater New Jersey,"Content Writer, Communications",,,Greater Philadelphia,10.0,,,Full-time,1.0,0,Not Specified,1713457320000.0,0,FULL_TIME,,,2024-04-18 16:22:00,2024,2024-04,Greater Philadelphia,Greater Philadelphia,,0,0,1,0,0,0,0,0,1,1,0,0,Not Disclosed,0.1,1.0,0.1,"United Methodists of Greater New Jersey_Content Writer, Communications_Greater Philadelphia",1,3,0,2.3978952727983707,1,0.17752070898876932,0
115639136,Shannon Waltchack,Controller,,,"Birmingham, AL",61.0,,,Full-time,4.0,0,Not Specified,1713209850000.0,0,FULL_TIME,,,2024-04-15 19:37:30,2024,2024-04,Birmingham,AL,,0,0,1,0,0,0,0,0,1,1,0,0,Not Disclosed,0.0655737704918032,4.0,0.06557377049180328,"Shannon Waltchack_Controller_Birmingham, AL",1,3,0,4.127134385045092,1,0.1740661799172477,0
117675818,Premier Family Clinic,Physician Assistant,,,"Atlanta, GA",29.0,,,Contract,1.0,0,Not Specified,1712667107000.0,0,CONTRACT,,,2024-04-09 12:51:47,2024,2024-04,Atlanta,GA,,0,0,0,0,0,0,0,0,1,0,0,0,Not Disclosed,0.0344827586206896,1.0,0.034482758620689655,"Premier Family Clinic_Physician Assistant_Atlanta, GA",1,1,0,3.4011973816621555,1,0.13963361416838066,0
175485704,GOYT,Software Engineer,,,"Denver, CO",273.0,,,Part-time,49.0,0,Not Specified,1713280645000.0,0,PART_TIME,,,2024-04-16 15:17:25,2024,2024-04,Denver,CO,,0,1,1,0,0,1,0,0,1,1,0,0,Not Disclosed,0.1794871794871795,49.0,0.1794871794871795,"GOYT_Software Engineer_Denver, CO",1,5,0,5.6131281063880705,1,0.034411810849437785,0
266566927,Revesco Properties,Marketing & Office Coordinator,75000.0,YEARLY,"Denver, CO",13.0,,55000.0,Full-time,1.0,0,Not Specified,1713458968000.0,0,FULL_TIME,USD,65000.0,2024-04-18 16:49:28,2024,2024-04,Denver,CO,65000.0,0,0,1,0,0,0,0,0,1,0,0,0,50K-80K,0.0769230769230769,1.0,0.07692307692307693,"Revesco Properties_Marketing & Office Coordinator_Denver, CO",1,2,1,2.639057329615259,1,0.1451816249202978,0
844454682,,Commercial Property Manager,,,"Houston, TX",34.0,,,Full-time,12.0,0,Not Specified,1713213077000.0,0,FULL_TIME,,,2024-04-15 20:31:17,2024,2024-04,Houston,TX,,0,0,1,0,0,0,0,0,1,0,0,0,Not Disclosed,0.3529411764705882,12.0,0.35294117647058826,"nan_Commercial Property Manager_Houston, TX",1,2,0,3.5553480614894135,1,0.1104198846736788,0
974774701,Kate Meadows Writing and Editing,Blog writer and virtual assistant,,,"South Dakota, United States",85.0,,,Contract,21.0,1,Not Specified,1712349360000.0,0,CONTRACT,,,2024-04-05 20:36:00,2024,2024-04,South Dakota,United States,,0,0,1,0,0,0,0,0,1,1,0,0,Not Disclosed,0.2470588235294117,21.0,0.24705882352941178,"Kate Meadows Writing and Editing_Blog writer and virtual assistant_South Dakota, United States",1,3,0,4.454347296253507,1,0.15667541952049574,0
1093227543,POSHI,Sales Associate Natural Food Products,120000.0,YEARLY,"Miami, FL",71.0,,60000.0,Full-time,16.0,0,Not Specified,1713389256000.0,0,FULL_TIME,USD,90000.0,2024-04-17 21:27:36,2024,2024-04,Miami,FL,90000.0,0,0,1,0,0,0,0,0,1,0,0,0,80K-120K,0.2253521126760563,16.0,0.22535211267605634,"POSHI_Sales Associate Natural Food Products_Miami, FL",1,2,1,4.276666119016055,1,0.11279092267373964,0
1143359956,,National Sales Manager,85000.0,YEARLY,"Los Angeles, CA",52.0,,75000.0,Full-time,6.0,0,Not Specified,1713213733000.0,0,FULL_TIME,USD,80000.0,2024-04-15 20:42:13,2024,2024-04,Los Angeles,CA,80000.0,0,0,1,0,0,0,0,0,1,1,0,0,80K-120K,0.1153846153846153,6.0,0.11538461538461539,"nan_National Sales Manager_Los Angeles, CA",1,3,1,3.970291913552122,1,0.15531334272978503,0
1219205895,,Director of Training,140000.0,YEARLY,"New York, NY",13.0,,120000.0,Full-time,3.0,0,Not Specified,1712634878000.0,0,FULL_TIME,USD,130000.0,2024-04-09 03:54:38,2024,2024-04,New York,NY,130000.0,0,0,1,0,0,0,0,0,1,1,0,0,Above 120K,0.2307692307692307,3.0,0.23076923076923078,"nan_Director of Training_New York, NY",1,3,1,2.639057329615259,1,0.11812642097896114,0
1826257634,The Medicare Coach,Social Security Specialist / Retirement Benefit Advisor (Remote),25.0,HOURLY,"Colorado, United States",60.0,,19.0,Full-time,7.0,1,Not Specified,1713213526000.0,0,FULL_TIME,USD,45760.0,2024-04-15 20:38:46,2024,2024-04,Colorado,United States,45760.0,0,0,1,0,0,0,0,0,1,1,0,0,Below 50K,0.1166666666666666,7.0,0.11666666666666667,"The Medicare Coach_Social Security Specialist / Retirement Benefit Advisor (Remote)_Colorado, United States",1,3,1,4.110873864173311,1,0.15279878195409552,0
2234533717,Ideando Inc,Full Stack Engineer,,,United States,21.0,,,Full-time,6.0,1,Not Specified,1713493353000.0,0,FULL_TIME,,,2024-04-19 02:22:33,2024,2024-04,United States,United States,,1,1,1,0,0,1,1,0,1,1,0,0,Not Disclosed,0.2857142857142857,6.0,0.2857142857142857,Ideando Inc_Full Stack Engineer_United States,1,7,0,3.091042453358316,1,0.01316027004056941,0
2790549389,Rogue Ales & Spirits,National Sales Manager,,,United States,43.0,,,Full-time,5.0,1,Not Specified,1713553761000.0,0,FULL_TIME,,,2024-04-19 19:09:21,2024,2024-04,United States,United States,,0,0,0,0,0,0,0,0,1,1,0,0,Not Disclosed,0.1162790697674418,5.0,0.11627906976744186,Rogue Ales & Spirits_National Sales Manager_United States,1,2,0,3.784189633918261,1,0.17557227442495188,0
